,x,y,name,1128,1307,1131,1070,1107,1139,1145,1092,1140,1138,1129,1122,1399,1311,1200,1692,1105,1103,1433,1121,1137,1309,1658,1654,1134,1054,1308,1167,1507,1651,1117,1383,1414,1360,1106,1132,1404,1259,1344,1642,1412,1244,1403
110,1488,,/Users/akshitshishodia/tracker/roboDK /pred/110.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1472,,/Users/akshitshishodia/tracker/roboDK /pred/111.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1475,,/Users/akshitshishodia/tracker/roboDK /pred/112.png,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
113,1475,,/Users/akshitshishodia/tracker/roboDK /pred/113.png,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
114,1475,,/Users/akshitshishodia/tracker/roboDK /pred/114.png,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
115,1475,,/Users/akshitshishodia/tracker/roboDK /pred/115.png,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
116,1472,,/Users/akshitshishodia/tracker/roboDK /pred/116.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1488,,/Users/akshitshishodia/tracker/roboDK /pred/117.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1472,,/Users/akshitshishodia/tracker/roboDK /pred/118.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1488,,/Users/akshitshishodia/tracker/roboDK /pred/119.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1469,,/Users/akshitshishodia/tracker/roboDK /pred/120.png,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
121,1445,,/Users/akshitshishodia/tracker/roboDK /pred/121.png,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
